,count,hate_speech,offensive_language,neither,class,tweet
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """
59,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
60,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
61,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said"""
62,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
63,3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
64,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
72,3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
112,3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
113,3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch"
114,3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
115,3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
116,3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
117,3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
118,3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
119,3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
120,3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
122,3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
123,3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
124,3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
126,3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
127,3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
130,3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
132,3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133,3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
134,6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
135,3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136,3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
137,3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
139,3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
141,3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
142,3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
143,3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
144,3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
145,3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch"
146,3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
147,3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
148,3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
149,3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
152,3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
153,6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
154,4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
155,3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
156,3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
157,6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
158,3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
159,3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
160,3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
161,3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
162,3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
163,3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
164,3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
165,3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
166,3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
168,3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
425,3,0,3,0,1,"""A pussy a day keeps the devil away"" -@DoperThanYola"
426,3,0,3,0,1,"""Ain't that about a bitch""... What does that mean?"
427,3,0,3,0,1,"""All these bitches want a baby, I don't want no children."""
428,3,0,2,1,1,"""And bitch you must be lost"" &#128514;&#128514;"
429,3,0,3,0,1,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do"
430,6,0,1,5,2,"""Bae"" sounds like such a ghetto word. Use something else"
431,3,1,2,0,1,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
432,3,0,3,0,1,"""Bleed out hoe!!!"" -Alexa"
433,3,0,3,0,1,"""Boolin' in the bando wit a few bitches"""
434,3,0,0,3,2,"""Brownies for my brownie"" I love this movie. &#128517;"
435,3,0,3,0,1,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday"
436,3,1,2,0,1,"""By the way we do punch bitches."""
437,3,0,3,0,1,"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bitch looks like. Lets start with ape shit&#8221;&#128557;&#128557;"""
438,3,0,1,2,2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS"
440,6,0,5,1,1,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes"""
441,3,0,3,0,1,"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates"
442,3,0,3,0,1,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd"
443,3,2,1,0,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch."""
444,3,0,3,0,1,"""Don't you ever give my pussy away. You keep it tight, alright?"""
446,3,0,3,0,1,"""Dumb bitches do dumb things"""
447,3,1,2,0,1,"""Eat the pussy like a real nigga hungry"""
449,3,0,2,1,1,"""Everything look better with a bitch next to it"""
450,3,0,3,0,1,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf"""
451,3,0,3,0,1,"""For every bad bitch there is a nigga tired of fucking her"""
452,3,0,3,0,1,"""Foreign chick, no lie.. Man that bitch Beautiful"""
453,3,1,2,0,1,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http://t.co/Cgx3HNAK9A"
454,3,0,3,0,1,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku"""
455,3,0,0,3,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T"
456,3,0,3,0,1,"""Get me that shit bitch you is fine bear"""
457,3,1,2,0,1,"""Get your ass back to Detroit ya fuckin' wigger!"""
458,3,0,3,0,1,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe"""
460,3,0,3,0,1,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please"
461,3,0,3,0,1,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?"""
463,3,1,2,0,1,"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus"
465,3,0,3,0,1,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone"
466,3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
467,3,0,3,0,1,"""Hey pussy you still there?"""
469,3,0,3,0,1,"""How hotter than is it?"" ""A bitch."""
470,3,0,3,0,1,"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em"""
471,3,0,3,0,1,"""How you doing, crazy bitch?"" is hilarious!"
474,3,0,0,3,2,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!"
475,3,0,3,0,1,"""I call him my bitch"" @MaKennaM_"
476,3,0,3,0,1,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa"
477,3,0,3,0,1,"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista"
478,3,0,2,1,1,"""I don't love these hoes, baby It's me and you forever"""
480,3,0,3,0,1,"""I dont have hoes"" &#128564;"
481,3,0,1,2,2,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
482,3,0,3,0,1,"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her"""
483,3,0,3,0,1,"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi"""
484,3,0,3,0,1,"""I got a sister, she told me stop calling women bitches.."""
485,3,0,3,0,1,"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!"
486,3,0,3,0,1,"""I had a bitch that had a bitch, had the bitch eating halibut.."" - @iamyoungroc #FreshRhymes #JerkSquad #SlowStir"
488,3,0,3,0,1,"""I heard you was looking for Candy Man, bitch"""
489,3,0,3,0,1,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
490,3,0,3,0,1,"""I just got a number 3 I'm a bitch boy"""
491,3,0,3,0,1,"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;"
493,6,0,6,0,1,"""I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand."""
497,3,0,3,0,1,"""I went to jail for a flock, &amp; came home wit a strike.. You went to jail as a bitch, came home as a dike""- @YG"
498,3,0,3,0,1,"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger."
499,3,0,3,0,1,"""I woke up like thi-"" bitch go back to bed"
500,3,0,3,0,1,"""I would rather you call me bitch than sir"" -my manager"
501,3,0,3,0,1,"""I'll beat on that pussy so hard"""
503,3,1,2,0,1,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour"
504,3,1,2,0,1,"""I'm comparing KFC to the pussy"" @MaxOn_MaxOff5"
505,3,0,3,0,1,"""I'm downloading you a new personality and ordering you a new face! You bitch.. I love you.. Goddamn it!"" -Axl Rose yelling at his sex robot"
506,3,0,3,0,1,"""I'm feelin like Malcolm in the middle, these bitches surround me they can't miss em"""
507,3,0,3,0,1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol"""
508,3,0,3,0,1,"""I'm probably your main bitch chocolate dipped cinnamon apple"""
509,3,0,3,0,1,"""I'm sick of his shit man @JonnieSantana: Sit his bitch ass, I'm fed up bro RT ""@80sbaby4life: Geno threw yet another pick smh"""""
510,3,1,2,0,1,"""I'm sorry I fucked yo bitch... But she really dig a nigga"" @KingL"
511,3,0,3,0,1,"""IBS"" irritable bitch syndrome."
519,3,0,3,0,1,"""It takes a true directioner to accept Larry"" You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry"
520,3,1,2,0,1,"""It's allegations, were u in the bedroom? Did u see it?"" Words of a naive &amp; blind bitch. We know ur husband cheated on u. Ramona is dumb!!!"
521,3,0,3,0,1,"""It's never too late to tag a bitch.""- @CyFyre"
523,3,1,2,0,1,"""Julia Roberts, you're a ho"" @LaurenGardner8 #NottingHill"
524,3,0,0,3,2,"""Just follow the yellow brick twitter."""
525,3,0,3,0,1,"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama."""
526,3,0,1,2,2,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod"
527,3,0,2,1,1,"""Let's do nips ahoy and spank me maybe"""
528,3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
529,3,1,2,0,1,"""Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?"""
530,3,0,3,0,1,"""Lmao @BlackBeauty515: &#128514;&#128514; RT @80sbaby4life: Pound cake look like pussy &#128514; http://t.co/UFYwCC9xCI"""
531,3,0,3,0,1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded"""
532,3,0,1,2,2,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit."
533,3,0,3,0,1,"""Maybe she wants to be more than your friend or maybe she's a stupid bitch. You never know until you make her cum."" &#128514;&#128514;&#128514;"
534,3,0,1,2,2,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids."""
535,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
536,3,1,2,0,1,"""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!"""
538,3,0,3,0,1,"""My twitter was hacked"" = I'm too pussy to admit that I said it and now I want to act like I never said it."
539,3,0,3,0,1,"""Nah girl I ain't gon be able to make it, it's been tight since Russ loss his job"" you in the back like ""damn bitch really"""
540,3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
541,3,0,3,0,1,"""New Flame"" the song of the yr lol that bitch SUPER run like"
542,3,0,3,0,1,"""Niggas always yelling ""Fuck bitches, Get money"" meanwhile they're broke and still want the bitches&#8230;."""
543,3,0,3,0,1,"""Niggas be pressed for pussy, Eeeeeen nothin"""
545,3,0,3,0,1,"""No boats and hoes please thanks"" - Mom"
546,3,0,0,3,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
547,3,0,3,0,1,"""On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke."" - @TallTrappin88 #RIPTALLT"
548,3,0,1,2,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
549,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
551,3,0,3,0,1,"""RT it for me. Please and thanks @BmorePocahontas: Did a pierced pussy just come across my timeline &#128528;"""
553,3,1,2,0,1,"""Roberto you are one nasty hoe"""
554,3,0,3,0,1,"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!"
555,3,0,2,1,1,"""Searching"" the incredible story of 1 white man's quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land"
556,3,0,3,0,1,"""Selling my soul for material wishes: fast cars and bitches"" #Tupac #smile #remix"
557,3,1,2,0,1,"""Shake that Bear ... aka two rednecks having sex on a dead bear"""
558,3,0,3,0,1,"""Shall I compare thee to a summer&#8217;s day? No, a summer&#8217;s day is not a bitch."""
561,3,0,3,0,1,"""She was a bitch anyway"""
564,3,0,3,0,1,"""So he's a good football player...but he still acts like a nig"""
565,3,1,2,0,1,"""Stop being a pussy, son, and shove that needle into your own heart!"" #afterearth"
566,3,0,3,0,1,"""Stop looking us and go eat some pussy, you yuppie fucks."""
567,3,0,3,0,1,"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?"" @xErnee18"
568,3,0,3,0,1,"""That ain't bro moves, that's hoe moves"""
569,6,1,3,2,1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality."
571,3,0,0,3,2,"""The water isn't yellow, I'm a healthy student"""
572,3,0,3,0,1,"""These hoes ain't loyal"""
573,3,0,3,0,1,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;"
574,3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em"""
575,4,0,4,0,1,"""They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch"""
576,3,1,2,0,1,"""They have some ghetto ass bands"" * gets snuck* &#128514;&#128514;&#128514;&#128514;"
577,3,0,0,3,2,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch"""
578,3,0,3,0,1,"""This is for all the fans that waited, the bitch niggas that hated / Old hoes we dated, look mama, we&#8230; http://t.co/sNRY6A7VYB"
579,3,0,3,0,1,"""This is for my ghetto motherfuckers"" -Missy Elliott"
580,3,0,0,3,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
581,3,1,2,0,1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black"
582,3,0,3,0,1,"""Trust noneeee, bitch I don't """
583,3,0,3,0,1,"""Twitter is twitter"" bitch twitter is life"
585,3,1,2,0,1,"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver"
586,3,0,2,1,1,"""Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad.."
587,3,0,3,0,1,"""Used to have a girlfriend, now all I got is hoes.. I was lookin for a good girl, but she was fuckin on the low."""
589,3,0,3,0,1,"""WHAAAAAAT! LMAOOO!!! @Cromotoasted: @creepgoddess that's why I luv u fat bitches cuz y'all got some big ole titties and phat booties"""
590,3,0,3,0,1,"""Walked in that bitch like, NIGGA WE MADE IT!"""
591,3,3,0,0,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally"
594,3,0,3,0,1,"""Well bitch, biology said..."" &#128514;&#128514;&#128514;"
595,3,0,3,0,1,"""What I do? @betysweetcocker: Gotta report you as spam RT @80sbaby4life: Ladies RT if your head game better than your pussy"""
596,3,0,3,0,1,"""When im done with a hoe i pass her to the squad"" G!!!!!!!!!!!!!!!!!!!!!!!!"
597,3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!"""
598,3,3,0,0,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
599,4,1,3,0,1,"""Why u being such a little bitch chris you ain't six bitch"" - Allisons Mom"
600,3,0,3,0,1,"""Why would I want to play with some pussy?"" - @jimmyfallon *DEAD* #SNL"
601,3,0,3,0,1,"""Why would you wanna be the Green Ranger? He's evil!"" Duh bitch"
602,3,0,3,0,1,"""Why would you want pussy on your side burns?.. Thats a good question"" @_hy0ung hahahahaha &#128514;"
603,3,0,3,0,1,"""Will shank a bitch for ceviche"""
604,3,0,2,1,1,"""Work"" - @tydollasign Gets me through those rough days hahaha #hoes"
606,3,0,3,0,1,"""Y'all forget he has his brand new baby girl at home"" bitch the cookies are burning"
607,3,0,0,3,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
608,3,0,0,3,2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;"""
609,3,0,3,0,1,"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony"
610,3,0,3,0,1,"""Yo can I sublet your pussy"" #ShitFahdSays"
611,3,0,3,0,1,"""Yo feet smell like my puss"" &#128514;&#128557; Whut ? ""Like flowers bitch"" &#128514;&#128557;&#9995;&#128553; omg"
612,3,0,2,1,1,"""Yo mama, bitch."" RT @TheAceTJShow: What was the ONE sentence that ended your relationship?"
613,3,2,1,0,0,"""You ain't gunna do shit spear chucker"""
614,3,0,3,0,1,"""You ain't my bitch"" is my favorite response to long texts"
615,3,1,2,0,1,"""You and yo boys some pussy cats."""
616,3,0,3,0,1,"""You are a cunt"""
617,3,0,3,0,1,"""You can pull more pussy with a dodge and collect them panties alright."" -stormy and jake &#128514;&#128514;&#128514;"
618,3,0,2,1,1,"""You can take someone out of the ghetto, but you can't take the ghetto out of them."""
619,3,1,2,0,1,"""You don't like us colored folks, what the he'll you're not colored you white fucks"" &#128514;&#128514;&#128514;&#128514;"
620,3,0,3,0,1,"""You got hella hoes"" http://t.co/ZN1A0gsTpc"
621,3,0,1,2,2,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo"
622,6,1,5,0,1,"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!"
623,3,0,1,2,2,"""You look like little birds help you get dressed in the morning"""
625,3,1,2,0,1,"""You talk like a fag and your shit's retarded. But that's cool scro, lot's of tards out there living total kick-ass lives!"""
626,3,0,3,0,1,"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes"
627,3,0,3,0,1,"""You're a garden rose, and that bitch is a weed."""
629,3,1,2,0,1,"""Your a queer"". &#128530;&#128530;&#128530;&#128530;"
630,3,0,2,1,1,"""Your homeboy looking bad and you giving cash to them hoes"""
631,3,0,0,3,2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
632,3,0,3,0,1,"""Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol"""
633,3,0,3,0,1,"""ain't it time for you hoes to get out of here"" LOL this is what Ariana's mom says to us"
634,3,0,3,0,1,"""are we bitches?"" - @chellyhernandez"
635,3,2,1,0,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes"""
636,3,0,3,0,1,"""bitch freak my shit"""
637,3,0,3,0,1,"""bitch my vagina is a little more resilient than that"" -@rosestokoe"
638,3,0,3,0,1,"""but I love him"" nah bitch that ain't love."
